title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Pack Head Coello Vibe,Head,Raquettes,139.9,10777,2025-08-05 10:01:36+00:00,forme,foam,,carbone,,bleu,,,,
Raquette de padel Babolat Veron 3.0 Juan Lebron 2026,Babolat,Raquettes,239.9,10700,2025-07-28 12:21:36+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Babolat Viper Soft 3.0 Juan Lebron 2026,Babolat,Raquettes,299.9,10577,2025-07-07 06:44:47+00:00,forme,mousse,expert,carbone,,,attaque,,,
Raquette de padel Babolat Viper Juan Lebron 3.0 2026,Babolat,Raquettes,379.9,10576,2025-07-04 08:13:36+00:00,forme,mousse,,carbone,sand,,,,,
Raquette de padel Head Extreme One 2025,Head,Raquettes,279.9,10762,2025-07-30 12:43:11+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Head Extreme One X 2025,Head,Raquettes,299.9,10761,2025-07-30 12:43:08+00:00,forme,foam,,carbone,,,,,,
Raquette de padel Adidas Arrow Hit Carbon Control 2026,Adidas,Raquettes,249.9,11301,2025-10-22 14:50:26+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Adidas Arrow Hit Carbon Attack 2026,Adidas,Raquettes,249.9,11300,2025-10-22 13:59:13+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Adidas Arrow Hit Control 2026,Adidas,Raquettes,379.9,11285,2025-10-22 09:23:51+00:00,forme,mousse,,carbone,,,,balance,,poids
Raquette de padel Adidas Arrow Hit Attack 2026,Adidas,Raquettes,379.9,11283,2025-10-22 08:32:18+00:00,forme,mousse,,carbone,,,attaque,balance,,poids
Raquette de padel Adidas Match Light 3.5 2026,Adidas,Raquettes,74.9,11321,2025-10-23 12:46:45+00:00,forme,mousse,,,,noir,attaque,,,weight
Raquette de padel Adidas Match Vert 3.5 2026,Adidas,Raquettes,74.9,11320,2025-10-23 12:35:30+00:00,forme,mousse,,carbone,,bleu,polyvalente,,,
Raquette de padel Adidas Match Orange 3.5 2026,Adidas,Raquettes,74.9,11319,2025-10-23 12:13:47+00:00,forme,mousse,,,,,,,,
